id,reply_time,full_resolution_time,num_replies,is_issue_solved,is_rerouted,is_promoter,group_number,agent,manager,site
50,1501,3117,3,1,0,1,8,Angle Grasser Ê,Earnest Levitsky Ê,Sequoia
51,429,429,1,1,1,1,4,Marisol Shurtliff Ê,Earnest Levitsky Ê,Sequoia
52,277,297,2,1,1,1,4,Hoyt Sowa Ê,Jessie Tsan Ê,Willow
53,337,337,1,1,1,1,3,Terisa Reith Ê,Junie Grahn Ê,Willow
54,180,180,1,1,0,1,2,Wilhelmina Perine Ê,Bart Huth Ê,Orangewood
55,289,289,1,1,1,1,4,Breanne Anzaldua Ê,Jackie Zuccaro Ê,Sequoia
56,346,375,2,0,1,0,9,Willow Cude Ê,Loura Wemple Ê,Willow
57,236,236,1,1,0,1,7,Alesha Eis Ê,Jackie Zuccaro Ê,Sequoia
58,260,292,2,1,1,1,4,Jenee Manos Ê,Cheryll Minaya Ê,Cypress
59,13,20,2,1,1,1,6,Nadia Labrecque Ê,Gracie Shehorn Ê,Willow
60,134,189,2,0,1,0,3,Concetta Bruner Ê,Bart Huth Ê,Orangewood
61,1730,1730,1,0,1,0,9,Peg Servantes Ê,Gracie Shehorn Ê,Willow
62,262,262,2,1,1,1,4,Nora Hackney Ê,Kermit Beck Ê,Cypress
63,148,148,1,1,0,1,6,Angle Grasser Ê,Earnest Levitsky Ê,Sequoia
64,294,550,3,0,1,1,3,Lavelle Easterly Ê,Preston Perreault Ê,Willow
65,10,1410,2,1,0,1,7,Tempie Enger Ê,Irish Mcmillin Ê,Cypress
66,286,446,2,0,1,0,4,Cindi Cartier Ê,Lauran Kestler Ê,Orangewood
67,1452,1458,1,0,0,1,8,Dorethea Martucci Ê,Irish Mcmillin Ê,Cypress
68,1347,1683,3,1,1,1,2,Krishna Bosarge Ê,Kermit Beck Ê,Cypress
69,285,339,2,1,1,1,9,Jaclyn Beckford Ê,Bart Huth Ê,Orangewood
70,248,130932,10,1,0,1,6,Elza Gunnells Ê,Loura Wemple Ê,Willow
71,7205,7205,1,0,1,0,8,Alyson Ricci Ê,Earnest Levitsky Ê,Sequoia
72,7205,7205,1,0,1,0,8,Margery Scheffer Ê,Wilbert Macke Ê,Cypress
73,7205,7205,1,0,1,0,8,Ninfa Jeanpierre Ê,Gracie Shehorn Ê,Willow
74,7205,7205,1,0,1,0,8,Florinda Alpers Ê,Carlos Speaker Ê,Willow
75,1326,1326,1,1,1,1,2,Coleen Bockelman Ê,Alec Hassell Ê,Sequoia
76,1,3105,5,0,0,0,6,Isaura Salters Ê,Meagan Dale Ê,Willow
77,2847,2847,1,1,1,1,9,Elenore Dittrich Ê,Wilbert Macke Ê,Cypress
78,164,1534,3,1,1,1,10,Elenore Dittrich Ê,Wilbert Macke Ê,Cypress
79,1295,1434,3,1,1,1,2,Berna Nunes Ê,Antonio Kaspar Ê,Orangewood
80,208,208,1,1,1,1,4,Florrie Daniels Ê,Wilbert Macke Ê,Cypress
81,190,190,1,0,1,0,2,Tammie Wallingford Ê,Junie Grahn Ê,Willow
82,196,5687,5,1,1,1,9,Alfredo Coard Ê,Irish Mcmillin Ê,Cypress
83,7,1380,2,0,1,0,3,Joel Prada Ê,Loura Wemple Ê,Willow
84,190,190,1,1,1,1,4,Anglea Jerabek Ê,Gracie Shehorn Ê,Willow
85,137,8281,6,0,1,0,9,Peg Servantes Ê,Gracie Shehorn Ê,Willow
86,2679,7414,3,1,1,1,8,Hilaria Holdaway Ê,Alec Hassell Ê,Sequoia
87,1125,1125,1,0,1,0,3,Florrie Daniels Ê,Wilbert Macke Ê,Cypress
88,161,161,1,0,1,0,3,Cindi Cartier Ê,Lauran Kestler Ê,Orangewood
89,1219,1219,1,1,1,1,2,Anglea Jerabek Ê,Gracie Shehorn Ê,Willow
90,2875,9670,2,0,1,0,8,Coleen Bockelman Ê,Alec Hassell Ê,Sequoia
91,1202,1208,1,1,0,1,8,Palmer Bothwell Ê,Ahmed Sykes Ê,Pine
92,158,158,1,0,1,0,3,Tempie Enger Ê,Irish Mcmillin Ê,Cypress
93,31,2518,4,1,1,1,3,Rufus Seyal Ê,Bart Huth Ê,Orangewood
94,7,17137,4,1,1,1,3,Joel Prada Ê,Loura Wemple Ê,Willow
95,1157,1163,1,0,0,1,8,Joel Prada Ê,Loura Wemple Ê,Willow
96,7,142,3,1,1,1,2,Jong Fikes Ê,Jessie Tsan Ê,Willow
97,1205,1408,2,1,1,1,2,Donovan Smelcer Ê,Cheryll Minaya Ê,Cypress
98,2812,12932,3,0,1,0,6,Shenika Wolery Ê,Earnest Levitsky Ê,Sequoia
99,8,8,1,1,1,1,4,Shenna Verrett Ê,Janette Westfield Ê,Sequoia
100,1185,1321,2,1,1,1,2,Mayme Plouffe Ê,Janette Westfield Ê,Sequoia
101,67,154,2,1,1,1,4,Florrie Daniels Ê,Wilbert Macke Ê,Cypress
102,1123,1131,1,1,0,1,8,Whitley Tweedie Ê,Claude Rasch Ê,Willow
103,22,125,2,0,1,1,4,Garfield Slifer Ê,Carlos Speaker Ê,Willow
104,55,55,1,0,1,1,4,Pearline Trinkle Ê,Cheryll Minaya Ê,Cypress
105,30,1270,3,1,1,1,4,Dolores Burget Ê,Lauran Kestler Ê,Orangewood
106,1147,1147,1,1,1,1,2,Jen Steadman Ê,Jessie Tsan Ê,Willow
107,1068,2262,2,0,0,0,8,Henry Spadoni Ê,Bart Huth Ê,Orangewood
108,32,32,1,0,0,1,7,Wilbert Sayer Ê,Cheryll Minaya Ê,Cypress
109,15,2708,4,0,1,0,3,Ardell Difiore Ê,Gracie Shehorn Ê,Willow
110,22,85,2,1,1,1,3,Kendra Caliendo Ê,Wilbert Macke Ê,Cypress
111,22,22,1,1,0,1,3,Alvera Spagnoli Ê,Janette Westfield Ê,Sequoia
112,1119,1618,4,1,1,1,2,Cindi Cartier Ê,Lauran Kestler Ê,Orangewood
113,2335,7052,2,1,1,0,9,Matthew Boze Ê,Antonio Kaspar Ê,Orangewood
114,34,811,2,0,1,0,3,Maryann Dycus Ê,Claude Rasch Ê,Willow
115,915,915,1,1,1,1,4,Curtis Wilsey Ê,Gracie Shehorn Ê,Willow
116,683,2087,2,0,1,0,10,Anthony Shevlin Ê,Jessie Tsan Ê,Willow
117,30,30,1,1,1,1,3,Donita Lusher Ê,Wilbert Macke Ê,Cypress
118,855,1022,2,1,0,1,8,Mayme Plouffe Ê,Janette Westfield Ê,Sequoia
119,781,781,1,1,1,1,3,Keila Vance Ê,Claude Rasch Ê,Willow
120,780,795,2,1,1,1,3,Julissa Feeney Ê,Jackie Zuccaro Ê,Sequoia
121,5190,5190,1,0,1,0,9,Stella Hintzen Ê,Cheryll Minaya Ê,Cypress
122,695,814,4,1,0,1,2,Alpha Mitchum Ê,Gracie Shehorn Ê,Willow
123,749,749,1,1,1,1,3,Rhoda Shrout Ê,Claude Rasch Ê,Willow
124,772,772,1,0,1,0,4,Eldon Fuller Ê,Claude Rasch Ê,Willow
125,82,82,1,1,0,1,7,Stella Hintzen Ê,Cheryll Minaya Ê,Cypress
126,660,7677,4,0,1,0,6,Latashia Kirst Ê,Irish Mcmillin Ê,Cypress
127,396,702,3,0,1,0,3,Shanell Drewry Ê,Janette Westfield Ê,Sequoia
128,400,400,1,0,1,0,3,Akilah Saidi Ê,Irish Mcmillin Ê,Cypress
129,380,380,1,0,1,1,9,Ezra Ayer Ê,Jessie Tsan Ê,Willow
130,259,1683,3,1,1,1,3,Willian Kerstetter Ê,Loura Wemple Ê,Willow
131,234,581,3,0,1,0,3,Allison Wroten Ê,Meagan Dale Ê,Willow
132,5781,7338,4,1,1,1,3,Elza Gunnells Ê,Loura Wemple Ê,Willow
133,298,7506,5,0,1,0,10,Krishna Bosarge Ê,Kermit Beck Ê,Cypress
134,472,530,2,1,1,1,2,Shenika Wolery Ê,Earnest Levitsky Ê,Sequoia
135,322,322,1,0,1,0,2,Henry Spadoni Ê,Bart Huth Ê,Orangewood
136,1780,5679,2,1,1,1,6,Jessika Felan Ê,Lauran Kestler Ê,Orangewood
137,28,138,2,0,1,0,3,Tammie Wallingford Ê,Junie Grahn Ê,Willow
138,494,494,1,0,1,0,3,Raguel Coupe Ê,Junie Grahn Ê,Willow
139,24,24,1,1,1,1,4,Leonel Markowitz Ê,Jessie Tsan Ê,Willow
140,74,74,1,1,1,1,4,Beryl Weyandt Ê,Preston Perreault Ê,Willow
141,80,6167,2,0,1,0,9,Kali Due Ê,Jessie Tsan Ê,Willow
142,459,459,1,1,1,1,7,Lynette Esses Ê,Loura Wemple Ê,Willow
143,264,4644,2,0,1,0,9,Shanell Drewry Ê,Janette Westfield Ê,Sequoia
144,226,360,2,1,1,1,3,Florrie Daniels Ê,Wilbert Macke Ê,Cypress
145,149,149,1,0,1,1,9,Kathe Bumbalough Ê,Loura Wemple Ê,Willow
146,11,11,1,1,1,1,4,Constance Anker Ê,Irish Mcmillin Ê,Cypress
147,462,1365,2,1,1,1,2,Audria Reavis Ê,Kermit Beck Ê,Cypress
148,1695,1763,3,1,1,1,9,Rufus Seyal Ê,Bart Huth Ê,Orangewood
149,29,4274,9,1,1,1,6,Beatrice Dula Ê,Irish Mcmillin Ê,Cypress
150,218,225,2,0,1,0,3,Constance Anker Ê,Irish Mcmillin Ê,Cypress
151,114,168,2,0,1,0,7,Myrl Bickerstaff Ê,Lauran Kestler Ê,Orangewood
152,203,470,2,1,1,1,3,Harland Tufts Ê,Janette Westfield Ê,Sequoia
153,31,110,2,0,1,0,2,Romaine Gholston Ê,Gracie Shehorn Ê,Willow
154,17,67,2,1,1,1,10,Kenton Lossing Ê,Janette Westfield Ê,Sequoia
155,20,27,2,0,0,1,7,Keila Vance Ê,Claude Rasch Ê,Willow
156,169,3174,5,1,1,0,3,Jong Fikes Ê,Jessie Tsan Ê,Willow
157,179,625,3,1,1,1,3,Justin Vera Ê,Kermit Beck Ê,Cypress
158,172,172,1,1,1,1,3,Elenore Dittrich Ê,Wilbert Macke Ê,Cypress
159,5868,5868,1,1,1,1,9,Idell Macaulay Ê,Gracie Shehorn Ê,Willow
160,170,5594,2,0,1,0,9,Krishna Bosarge Ê,Kermit Beck Ê,Cypress
161,194,194,1,1,1,1,3,Rachele Lainez Ê,Irish Mcmillin Ê,Cypress
162,5800,6127,3,1,0,1,8,Quinton Doner Ê,Alec Hassell Ê,Sequoia
163,5796,5984,3,1,1,0,8,Daniella Creswell Ê,Loura Wemple Ê,Willow
164,1,260,2,1,1,1,7,Audria Reavis Ê,Kermit Beck Ê,Cypress
165,1289,1938,4,1,1,1,2,Constance Anker Ê,Irish Mcmillin Ê,Cypress
166,1091,1558,2,0,0,0,8,Matthew Boze Ê,Antonio Kaspar Ê,Orangewood
167,157,157,1,1,1,1,7,Amina Sergent Ê,Antonio Kaspar Ê,Orangewood
168,5618,6012,3,1,1,1,8,Ardell Difiore Ê,Gracie Shehorn Ê,Willow
169,156,2843,2,0,1,0,3,Lahoma Fillman Ê,Irish Mcmillin Ê,Cypress
170,48,1596,5,1,1,1,2,Delora Hersom Ê,Junie Grahn Ê,Willow
171,1281,1281,1,1,1,1,2,Ninfa Jeanpierre Ê,Gracie Shehorn Ê,Willow
172,1276,1295,2,1,1,1,2,Alpha Mitchum Ê,Gracie Shehorn Ê,Willow
173,5749,5749,1,0,1,0,8,Alpha Mitchum Ê,Gracie Shehorn Ê,Willow
174,108,8563,2,0,1,0,9,Donita Lusher Ê,Wilbert Macke Ê,Cypress
175,128,3178,3,0,1,0,3,Blossom Stmartin Ê,Irish Mcmillin Ê,Cypress
176,121,291,2,0,1,0,3,Alfredo Coard Ê,Irish Mcmillin Ê,Cypress
177,29,4149,7,1,1,1,10,Blossom Stmartin Ê,Irish Mcmillin Ê,Cypress
178,23,23,1,1,1,1,4,Ira Reimann Ê,Ahmed Sykes Ê,Pine
179,101,1223,2,1,1,1,3,Michelina Kawamoto Ê,Junie Grahn Ê,Willow
180,8302,8302,1,1,1,0,8,Elia Ketcher Ê,Earnest Levitsky Ê,Sequoia
181,1214,1214,1,1,1,1,2,Emely Depaul Ê,Claude Rasch Ê,Willow
182,21,1312,3,0,0,0,7,Peg Servantes Ê,Gracie Shehorn Ê,Willow
183,11,5740,3,0,1,0,3,Rachele Meunier Ê,Cheryll Minaya Ê,Cypress
184,,0,0,1,0,1,2,Elenore Dittrich Ê,Wilbert Macke Ê,Cypress
185,13,1206,4,0,1,0,3,Rosenda Warring Ê,Gracie Shehorn Ê,Willow
186,1,138,3,1,0,1,7,Peg Servantes Ê,Gracie Shehorn Ê,Willow
187,6,11221,8,1,1,1,4,Genna Pacheo Ê,Loura Wemple Ê,Willow
188,8154,19962,4,1,1,1,8,Evalyn Border Ê,Antonio Kaspar Ê,Orangewood
189,1158,1158,1,0,1,0,2,Rickey Styron Ê,Bart Huth Ê,Orangewood
190,110,110,1,1,1,1,10,Darcie Gravley Ê,Ahmed Sykes Ê,Pine
191,57,57,1,0,0,0,7,Whitley Tweedie Ê,Claude Rasch Ê,Willow
192,796,796,1,1,0,1,8,Sharlene Deavers Ê,Kermit Beck Ê,Cypress
193,9,6802,2,0,1,0,6,Terisa Reith Ê,Junie Grahn Ê,Willow
194,136,929,3,1,1,1,3,Jeanne Gleaves Ê,Janette Westfield Ê,Sequoia
195,13,13,1,1,1,1,4,Myrtie Revell Ê,Preston Perreault Ê,Willow
196,1058,1058,1,1,1,1,2,Pia Hine Ê,Cheryll Minaya Ê,Cypress
197,1057,1057,1,0,1,0,3,Margery Scheffer Ê,Wilbert Macke Ê,Cypress
198,20,5035,3,0,1,0,7,Solange Radosevich Ê,Bart Huth Ê,Orangewood
199,7827,7827,1,1,1,0,8,Hilaria Holdaway Ê,Alec Hassell Ê,Sequoia
200,23,1143,2,1,1,1,4,Josephina Rhea Ê,Lauran Kestler Ê,Orangewood
201,502,502,1,1,0,1,8,Beatrice Dula Ê,Irish Mcmillin Ê,Cypress
202,363,363,1,1,1,0,10,Clemente Chmielewski Ê,Cheryll Minaya Ê,Cypress
203,6239,7629,2,0,1,0,8,Aleisha Vossler Ê,Carlos Speaker Ê,Willow
204,361,4994,6,0,1,0,3,Yoshie Maddix Ê,Jackie Zuccaro Ê,Sequoia
205,700,700,1,1,1,1,3,Whitley Tweedie Ê,Claude Rasch Ê,Willow
206,113,10616,14,0,1,0,6,Florinda Alpers Ê,Carlos Speaker Ê,Willow
207,760,4510,3,0,1,0,2,Weston Forsman Ê,Jessie Tsan Ê,Willow
208,760,4510,3,0,1,0,2,Tempie Enger Ê,Irish Mcmillin Ê,Cypress
209,760,4510,3,0,1,0,2,Thad Dutra Ê,Bart Huth Ê,Orangewood
210,760,4510,3,0,1,0,2,Delora Hersom Ê,Junie Grahn Ê,Willow
211,98,264,2,1,1,1,3,Kazuko Houge Ê,Antonio Kaspar Ê,Orangewood
212,239,5780,4,1,1,1,9,Madelene Aucoin Ê,Meagan Dale Ê,Willow
213,787,4375,2,1,1,1,3,Shenna Verrett Ê,Janette Westfield Ê,Sequoia
214,222,222,1,0,1,0,4,Tammie Wallingford Ê,Junie Grahn Ê,Willow
215,112,163,2,0,1,0,3,Jerica Rojas Ê,Carlos Speaker Ê,Willow
216,1591,8608,9,1,1,1,6,Constance Anker Ê,Irish Mcmillin Ê,Cypress
217,185,425,3,1,0,1,6,Ghislaine Stump Ê,Loura Wemple Ê,Willow
218,1523,1523,1,0,1,0,3,Riva Boes Ê,Bart Huth Ê,Orangewood
219,48,443,4,1,1,1,3,Herma Sidler Ê,Loura Wemple Ê,Willow
220,4276,4276,1,0,1,0,9,Donita Lusher Ê,Wilbert Macke Ê,Cypress
221,254,254,1,0,1,0,9,Shala Kron Ê,Carlos Speaker Ê,Willow
222,3212,4178,2,0,1,0,10,Pearline Trinkle Ê,Cheryll Minaya Ê,Cypress
223,4632,5670,2,1,1,1,9,Bernita Griswold Ê,Lauran Kestler Ê,Orangewood
224,50,4533,3,1,0,1,8,Madelene Aucoin Ê,Meagan Dale Ê,Willow
225,205,213,2,1,1,1,4,Christoper Recalde Ê,Lauran Kestler Ê,Orangewood
226,42,540,6,0,1,0,9,Elenora Crum Ê,Earnest Levitsky Ê,Sequoia
227,3208,3208,1,0,1,0,10,Alpha Mitchum Ê,Gracie Shehorn Ê,Willow
228,48,48,1,1,1,1,2,Hilaria Holdaway Ê,Alec Hassell Ê,Sequoia
229,72,72,1,1,1,1,6,Joel Prada Ê,Loura Wemple Ê,Willow
230,198,198,1,1,1,1,4,Herma Sidler Ê,Loura Wemple Ê,Willow
231,1582,1826,2,0,1,0,2,Garfield Slifer Ê,Carlos Speaker Ê,Willow
232,1537,3298,2,1,1,1,3,Elia Ketcher Ê,Earnest Levitsky Ê,Sequoia
233,197,197,1,1,1,1,9,Ilda Pierro Ê,Bart Huth Ê,Orangewood
234,311,311,1,1,1,1,3,Henry Spadoni Ê,Bart Huth Ê,Orangewood
235,4254,4254,1,0,1,0,2,Wendell Pajak Ê,Meagan Dale Ê,Willow
236,79,5744,3,1,1,1,10,Wilbert Sayer Ê,Cheryll Minaya Ê,Cypress
237,4299,4299,1,0,1,0,9,Willow Cude Ê,Loura Wemple Ê,Willow
238,84,128,2,1,0,1,7,Elenora Crum Ê,Earnest Levitsky Ê,Sequoia
239,1545,1545,1,0,1,0,3,Madelene Aucoin Ê,Meagan Dale Ê,Willow
240,522,522,1,0,0,0,4,Romaine Gholston Ê,Gracie Shehorn Ê,Willow
241,187,187,1,0,1,1,4,Jong Fikes Ê,Jessie Tsan Ê,Willow
242,120,137,2,0,1,0,10,Pandora Fleener Ê,Junie Grahn Ê,Willow
243,107,178,3,1,0,1,7,Pandora Fleener Ê,Junie Grahn Ê,Willow
244,186,186,1,1,1,1,4,Hector Knepper Ê,Claude Rasch Ê,Willow
245,12,12,1,0,0,0,7,Lady Pergande Ê,Irish Mcmillin Ê,Cypress
246,1537,4270,2,1,1,1,3,Ezra Ayer Ê,Jessie Tsan Ê,Willow
247,231,4402,3,1,1,0,9,Michelina Bartolotta Ê,Kermit Beck Ê,Cypress
248,4189,4189,1,0,1,0,9,Jann Overson Ê,Preston Perreault Ê,Willow
249,287,4567,2,0,1,1,2,Harland Tufts Ê,Janette Westfield Ê,Sequoia
250,180,4592,6,1,1,1,6,Thad Dutra Ê,Bart Huth Ê,Orangewood
251,25,25,1,1,0,1,10,Emely Depaul Ê,Claude Rasch Ê,Willow
252,7301,7301,1,0,1,0,8,Pearline Trinkle Ê,Cheryll Minaya Ê,Cypress
253,1692,3247,5,1,1,1,3,Pearline Trinkle Ê,Cheryll Minaya Ê,Cypress
254,6909,6909,1,1,1,1,8,Tempie Enger Ê,Irish Mcmillin Ê,Cypress
255,610,610,1,1,1,0,3,Jeanne Gleaves Ê,Janette Westfield Ê,Sequoia
256,61,153,2,1,1,1,10,Willian Kerstetter Ê,Loura Wemple Ê,Willow
257,166,1504,4,0,1,0,3,Florinda Alpers Ê,Carlos Speaker Ê,Willow
258,4213,4213,1,0,1,0,9,Kenton Lossing Ê,Janette Westfield Ê,Sequoia
259,4213,4213,1,0,1,0,9,Marissa Plantz Ê,Bart Huth Ê,Orangewood
260,4213,4213,1,0,1,0,9,Dedra Bird Ê,Antonio Kaspar Ê,Orangewood
261,4213,4213,1,0,1,0,9,Pandora Fleener Ê,Junie Grahn Ê,Willow
262,1553,1553,1,0,1,0,3,Ira Reimann Ê,Ahmed Sykes Ê,Pine
263,255,319,2,1,1,1,4,Nora Hackney Ê,Kermit Beck Ê,Cypress
264,4133,4133,1,1,1,1,10,Curtis Wilsey Ê,Gracie Shehorn Ê,Willow
265,477,556,2,0,1,0,3,Juliet Grier Ê,Loura Wemple Ê,Willow
266,1555,1555,1,1,1,1,3,Ezra Ayer Ê,Jessie Tsan Ê,Willow
267,1569,4166,4,0,1,0,3,Peter Tomlinson Ê,Ahmed Sykes Ê,Pine
268,4181,4181,1,1,1,1,9,Riva Boes Ê,Bart Huth Ê,Orangewood
269,4181,4181,1,1,1,1,9,Marisol Shurtliff Ê,Earnest Levitsky Ê,Sequoia
270,4181,4181,1,1,1,1,9,Anitra Brightwell Ê,Earnest Levitsky Ê,Sequoia
271,4181,4181,1,1,1,1,9,Alfredo Coard Ê,Irish Mcmillin Ê,Cypress
272,4430,5871,3,1,1,1,9,Juliet Grier Ê,Loura Wemple Ê,Willow
273,103,103,1,1,1,1,9,Ninfa Jeanpierre Ê,Gracie Shehorn Ê,Willow
274,1677,2800,3,1,1,1,2,Josephina Rhea Ê,Lauran Kestler Ê,Orangewood
275,4441,4441,1,1,1,1,9,Evalyn Border Ê,Antonio Kaspar Ê,Orangewood
276,175,175,1,1,1,1,3,Michelina Kawamoto Ê,Junie Grahn Ê,Willow
277,1671,4456,4,1,1,1,2,Magdalene Mershon Ê,Bart Huth Ê,Orangewood
278,1302,1302,1,1,1,1,3,Hilaria Holdaway Ê,Alec Hassell Ê,Sequoia
279,1360,1430,2,1,1,1,4,Shelly Minger Ê,Jackie Zuccaro Ê,Sequoia
280,5797,25687,4,0,1,0,9,Myrtie Revell Ê,Preston Perreault Ê,Willow
281,2575,4412,3,1,1,1,6,Krishna Bosarge Ê,Kermit Beck Ê,Cypress
282,188,2873,5,0,1,0,3,Tammie Wallingford Ê,Junie Grahn Ê,Willow
283,1678,1678,1,1,1,1,2,Shanell Drewry Ê,Janette Westfield Ê,Sequoia
284,262,262,1,0,1,0,2,Wilfred Stickland Ê,Cheryll Minaya Ê,Cypress
285,273,273,1,0,1,0,4,Georgene Burnham Ê,Meagan Dale Ê,Willow
286,4214,4214,1,1,1,1,6,Florrie Daniels Ê,Wilbert Macke Ê,Cypress
287,1662,1662,1,1,1,1,2,Kandace Foxx Ê,Jessie Tsan Ê,Willow
288,4046,4234,4,1,0,0,8,Romaine Gholston Ê,Gracie Shehorn Ê,Willow
289,1546,2826,6,1,1,1,3,Margery Scheffer Ê,Wilbert Macke Ê,Cypress
290,5414,5414,1,1,1,1,10,Ardell Difiore Ê,Gracie Shehorn Ê,Willow
291,10,10,1,0,1,1,2,Michelina Kawamoto Ê,Junie Grahn Ê,Willow
292,4352,4352,1,1,1,1,9,Stella Hintzen Ê,Cheryll Minaya Ê,Cypress
293,2523,2523,1,1,1,1,6,Idell Macaulay Ê,Gracie Shehorn Ê,Willow
294,1124,4065,3,1,1,1,4,Amina Sergent Ê,Antonio Kaspar Ê,Orangewood
295,1124,4065,3,1,1,1,4,Deeann Woodall Ê,Lauran Kestler Ê,Orangewood
296,1124,4065,3,1,1,1,4,Rachele Meunier Ê,Cheryll Minaya Ê,Cypress
297,1124,4065,3,1,1,1,4,Riva Boes Ê,Bart Huth Ê,Orangewood
298,1653,1653,1,1,1,1,2,Sherley Brode Ê,Loura Wemple Ê,Willow
299,1627,1627,1,1,1,1,3,Maryann Dycus Ê,Claude Rasch Ê,Willow
300,1121,1121,1,1,1,1,3,Nell Orwig Ê,Carlos Speaker Ê,Willow
301,2559,2573,2,1,1,1,3,Coleen Bockelman Ê,Alec Hassell Ê,Sequoia
302,1174,1529,4,0,1,1,4,Emily Remsen Ê,Jessie Tsan Ê,Willow
